claim_id,section_id,source_verdict,source_hallucination_risk,source_issue_codes,remaining_issue_codes,used_evidence_count,used_evidence_pairs,original_claim_text
S2_C1,S2,NOT_EVALUATED,MEDIUM,,,0,,"Los modelos ANN tradicionales, como Back Propagation y Multilayer Perceptron (MLP), han demostrado alta precisión en predicciones a corto plazo utilizando variables meteorológicas y datos históricos"
S2_C2,S2,NOT_EVALUATED,MEDIUM,,,0,,"Por ejemplo, un modelo MLP entrenado con datos de irradiancia solar y temperatura ambiental recolectados en Fortaleza, Brasil, logró un error absoluto medio porcentual (MAPE) de 6.11%, con un 58.7% de las predicciones con error menor al 10% y un 41.9% con error menor al 5%"
S2_C3,S2,NOT_EVALUATED,MEDIUM,,,0,,"La arquitectura de este modelo se basó en un algoritmo de retropropagación con avance de una hora, utilizando datos de 24 meses con mediciones cada 10 minutos"
S2_C5,S2,PARTIALLY_SUPPORTED,MEDIUM,PARTIAL_SUPPORT,PARTIAL_SUPPORT,1,1/33.An-LM-BP-Neural-Network-Approach-to-Estimate-Monthly-Mean-Daily-Global-Solar-Radiation-Using-MODIS-Atmospheric-Products.pdf | 42891eb1891ec233_chunk_0002,"La selección adecuada de variables de entrada, incluyendo parámetros atmosféricos satelitales, mejora significativamente la precisión del modelo"
S2_C6,S2,PARTIALLY_SUPPORTED,MEDIUM,PARTIAL_SUPPORT,PARTIAL_SUPPORT,2,1/39.MLP_Back_Propagation_Artificial_Neural_Network_for.pdf | 696fb1df0f31a0b4_chunk_0015; 1/33.An-LM-BP-Neural-Network-Approach-to-Estimate-Monthly-Mean-Daily-Global-Solar-Radiation-Using-MODIS-Atmospheric-Products.pdf | 42891eb1891ec233_chunk_0015,"Sin embargo, estas redes presentan limitaciones en escenarios con alta variabilidad climática y terrenos heterogéneos, donde la generalización puede verse afectada, como se observa en regiones con estaciones climáticas bien definidas que facilitan la predicción, pero que no garantizan la misma precisión en condiciones más complejas"
S3_C2,S3,NOT_EVALUATED,MEDIUM,,,0,,"Por ejemplo, un modelo DRNN con LSTM reporta un RMSE de 0.068 en pruebas, inferior al de redes feedforward y SVR, evidenciando su capacidad para preservar dependencias a largo plazo en series temporales de irradiancia"
S3_C5,S3,PARTIALLY_SUPPORTED,MEDIUM,PARTIAL_SUPPORT,PARTIAL_SUPPORT,3,1/47.1-s2.0-S0306261922010170-main.pdf | fe601d3747bcbeae_chunk_0041; 1/47.1-s2.0-S0306261922010170-main.pdf | fe601d3747bcbeae_chunk_0042; 1/47.1-s2.0-S0306261922010170-main.pdf | fe601d3747bcbeae_chunk_0043,"La optimización de hiperparámetros mediante técnicas como búsqueda en cuadrícula y optimización bayesiana contribuye a superar problemas comunes como el desvanecimiento del gradiente y el sobreajuste, ajustando parámetros como número de capas, tasa de aprendizaje y dropout"
S4_C6,S4,NOT_EVALUATED,MEDIUM,,,0,,"En aplicaciones prácticas, como la optimización de plantas termosolares, la combinación de descomposición de señales, selección de características mediante Random Forest y DCNN ha permitido mejorar la gestión y monitoreo del DNI, superando las limitaciones de los modelos estadísticos tradicionales"
S5_C1,S5,NOT_EVALUATED,MEDIUM,,,0,,"El preprocesamiento con lógica difusa permite manejar la incertidumbre y variabilidad rápida en variables meteorológicas, mejorando la precisión en pronósticos a muy corto plazo"
S5_C4,S5,NOT_EVALUATED,MEDIUM,,,0,,"Por ejemplo, la aplicación de k-means clustering para segmentar datos en condiciones soleadas, parcialmente nubladas y nubladas/lluviosas mejora la precisión de modelos SVM, ANN y NAR, evidenciándose en menores errores y mejor ajuste a datos medidos"
S5_C6,S5,PARTIALLY_SUPPORTED,MEDIUM,PARTIAL_SUPPORT,PARTIAL_SUPPORT,2,1/48.1-s2.0-S0960148122015567-main.pdf | fa4c26901738dbee_chunk_0014; 1/48.1-s2.0-S0960148122015567-main.pdf | fa4c26901738dbee_chunk_0020,"Además, la predicción del movimiento de nubes mediante flujo óptico Lucas-Kanade y la extracción de características de imágenes permiten alimentar modelos ANN con 17 variables, logrando resultados exitosos a pesar de la alta fluctuación de la radiación solar"
S5_C7,S5,NOT_EVALUATED,MEDIUM,,,0,,"Estas técnicas híbridas que combinan preprocesamiento avanzado con redes neuronales y machine learning tradicional han demostrado mejoras cuantificables en métricas de error, siendo especialmente útiles para manejar la intermitencia y variabilidad de la irradiancia solar en regiones con alta nubosidad o condiciones atmosféricas complejas"
