source_filename,paper_title,model_or_method,metric,value,numeric_value,unit,dataset_or_case,evaluation_scope,data_resolution,condition,source_text_evidence,value_found_in_kb_text,value_found_in_source_chunk,source_chunk_scope,source_chunk_ids_checked,verification_status,raw_path,raw_value
1/33.An-LM-BP-Neural-Network-Approach-to-Estimate-Monthly-Mean-Daily-Global-Solar-Radiation-Using-MODIS-Atmospheric-Products.pdf,An LM-BP Neural Network Approach to Estimate Monthly Mean Daily Global Solar Radiation Using MODIS Atmospheric Products,modelo_ANN,MBE,0.21 MJ·m−2,0.21,MJ·m−2,,,,,,True,True,retrieved_by_03,42891eb1891ec233_chunk_0015;42891eb1891ec233_chunk_0022;42891eb1891ec233_chunk_0023;42891eb1891ec233_chunk_0025;42891eb1891ec233_chunk_0030;42891eb1891ec233_chunk_0031;42891eb1891ec233_chunk_0032;42891eb1891ec233_chunk_0033;42891eb1891ec233_chunk_0034;42891eb1891ec233_chunk_0037,confirmed_in_source_chunk,quantitative_results.modelo_ANN.MBE,"""0.21 MJ·m−2"""
1/33.An-LM-BP-Neural-Network-Approach-to-Estimate-Monthly-Mean-Daily-Global-Solar-Radiation-Using-MODIS-Atmospheric-Products.pdf,An LM-BP Neural Network Approach to Estimate Monthly Mean Daily Global Solar Radiation Using MODIS Atmospheric Products,modelo_ANN,R,0.96,0.96,,,,,,,True,True,retrieved_by_03,42891eb1891ec233_chunk_0015;42891eb1891ec233_chunk_0022;42891eb1891ec233_chunk_0023;42891eb1891ec233_chunk_0025;42891eb1891ec233_chunk_0030;42891eb1891ec233_chunk_0031;42891eb1891ec233_chunk_0032;42891eb1891ec233_chunk_0033;42891eb1891ec233_chunk_0034;42891eb1891ec233_chunk_0037,confirmed_in_source_chunk,quantitative_results.modelo_ANN.R,0.96
1/33.An-LM-BP-Neural-Network-Approach-to-Estimate-Monthly-Mean-Daily-Global-Solar-Radiation-Using-MODIS-Atmospheric-Products.pdf,An LM-BP Neural Network Approach to Estimate Monthly Mean Daily Global Solar Radiation Using MODIS Atmospheric Products,modelo_ANN,RMSE,1.34 MJ·m−2,1.34,MJ·m−2,,,,,,True,True,retrieved_by_03,42891eb1891ec233_chunk_0015;42891eb1891ec233_chunk_0022;42891eb1891ec233_chunk_0023;42891eb1891ec233_chunk_0025;42891eb1891ec233_chunk_0030;42891eb1891ec233_chunk_0031;42891eb1891ec233_chunk_0032;42891eb1891ec233_chunk_0033;42891eb1891ec233_chunk_0034;42891eb1891ec233_chunk_0037,confirmed_in_source_chunk,quantitative_results.modelo_ANN.RMSE,"""1.34 MJ·m−2"""
1/33.An-LM-BP-Neural-Network-Approach-to-Estimate-Monthly-Mean-Daily-Global-Solar-Radiation-Using-MODIS-Atmospheric-Products.pdf,An LM-BP Neural Network Approach to Estimate Monthly Mean Daily Global Solar Radiation Using MODIS Atmospheric Products,modelo_ANN,neurons_hidden_layer,7,7.0,,,,,model_parameter,,True,True,retrieved_by_03,42891eb1891ec233_chunk_0015;42891eb1891ec233_chunk_0022;42891eb1891ec233_chunk_0023;42891eb1891ec233_chunk_0025;42891eb1891ec233_chunk_0030;42891eb1891ec233_chunk_0031;42891eb1891ec233_chunk_0032;42891eb1891ec233_chunk_0033;42891eb1891ec233_chunk_0034;42891eb1891ec233_chunk_0037,confirmed_in_source_chunk,quantitative_results.modelo_ANN.neurons_hidden_layer,7
1/34.praynlin2017.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante redes neuronales artificiales,,R²,cercanos a 1,1.0,cercanos a,,,,,,True,True,retrieved_by_03,12ed2391bde9cd16_chunk_0011;12ed2391bde9cd16_chunk_0015;12ed2391bde9cd16_chunk_0016;12ed2391bde9cd16_chunk_0018;12ed2391bde9cd16_chunk_0019;12ed2391bde9cd16_chunk_0023;12ed2391bde9cd16_chunk_0024;12ed2391bde9cd16_chunk_0028;12ed2391bde9cd16_chunk_0031;12ed2391bde9cd16_chunk_0032,confirmed_in_source_chunk,quantitative_results.R2,"""cercanos a 1"""
1/36.1-s2.0-S0960148122011387-main.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante inteligencia artificial,ANN_1h_forecast,R²,0.987,0.987,,,,,,,True,True,retrieved_by_03,553aa823184fcd93_chunk_0014;553aa823184fcd93_chunk_0018;553aa823184fcd93_chunk_0019;553aa823184fcd93_chunk_0020;553aa823184fcd93_chunk_0023;553aa823184fcd93_chunk_0035;553aa823184fcd93_chunk_0036;553aa823184fcd93_chunk_0039;553aa823184fcd93_chunk_0041;553aa823184fcd93_chunk_0047,confirmed_in_source_chunk,quantitative_results.ANN_1h_forecast.R2,0.987
1/36.1-s2.0-S0960148122011387-main.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante inteligencia artificial,ANN_1h_forecast,RMSE,36.72,36.72,,,,,,,True,True,retrieved_by_03,553aa823184fcd93_chunk_0014;553aa823184fcd93_chunk_0018;553aa823184fcd93_chunk_0019;553aa823184fcd93_chunk_0020;553aa823184fcd93_chunk_0023;553aa823184fcd93_chunk_0035;553aa823184fcd93_chunk_0036;553aa823184fcd93_chunk_0039;553aa823184fcd93_chunk_0041;553aa823184fcd93_chunk_0047,confirmed_in_source_chunk,quantitative_results.ANN_1h_forecast.RMSE,36.72
1/36.1-s2.0-S0960148122011387-main.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante inteligencia artificial,general_performance,neural_networks_short_term_R2,>0.97,0.97,>,,,,,,True,True,retrieved_by_03,553aa823184fcd93_chunk_0014;553aa823184fcd93_chunk_0018;553aa823184fcd93_chunk_0019;553aa823184fcd93_chunk_0020;553aa823184fcd93_chunk_0023;553aa823184fcd93_chunk_0035;553aa823184fcd93_chunk_0036;553aa823184fcd93_chunk_0039;553aa823184fcd93_chunk_0041;553aa823184fcd93_chunk_0047,confirmed_in_source_chunk,quantitative_results.general_performance.neural_networks_short_term_R2,""">0.97"""
1/37.Solar_Forecasting_using_ANN_with_Fuzzy_Logic_Pre-p.pdf,Solar Forecasting using ANN with Fuzzy Logic Pre-processing,,MAPE_ANN_con_solo_logica_difusa,43.1%,43.1,%,,,,,,True,True,retrieved_by_03,d3d05d271be6db98_chunk_0001;d3d05d271be6db98_chunk_0003;d3d05d271be6db98_chunk_0004;d3d05d271be6db98_chunk_0009;d3d05d271be6db98_chunk_0011;d3d05d271be6db98_chunk_0018;d3d05d271be6db98_chunk_0019;d3d05d271be6db98_chunk_0021;d3d05d271be6db98_chunk_0023;d3d05d271be6db98_chunk_0024,confirmed_in_source_chunk,quantitative_results.MAPE_ANN_con_solo_logica_difusa,"""43.1%"""
1/37.Solar_Forecasting_using_ANN_with_Fuzzy_Logic_Pre-p.pdf,Solar Forecasting using ANN with Fuzzy Logic Pre-processing,,MAPE_ANN_puro,46.3%,46.3,%,,,,,,True,True,retrieved_by_03,d3d05d271be6db98_chunk_0001;d3d05d271be6db98_chunk_0003;d3d05d271be6db98_chunk_0004;d3d05d271be6db98_chunk_0009;d3d05d271be6db98_chunk_0011;d3d05d271be6db98_chunk_0018;d3d05d271be6db98_chunk_0019;d3d05d271be6db98_chunk_0021;d3d05d271be6db98_chunk_0023;d3d05d271be6db98_chunk_0024,confirmed_in_source_chunk,quantitative_results.MAPE_ANN_puro,"""46.3%"""
