source_filename,paper_title,techniques,datasets
1/33.An-LM-BP-Neural-Network-Approach-to-Estimate-Monthly-Mean-Daily-Global-Solar-Radiation-Using-MODIS-Atmospheric-Products.pdf,An LM-BP Neural Network Approach to Estimate Monthly Mean Daily Global Solar Radiation Using MODIS Atmospheric Products,"Análisis de regresión múltiple para evaluar contribución de variables; Comparación con modelos de regresión lineal múltiple (MLR); Comparación con productos de radiación CERES; Red neuronal artificial (ANN) con función de transferencia tan-sigmoide y función de salida purelin, entrenada con algoritmo trainlm","9 sitios de radiación y 36 estaciones meteorológicas convencionales; Datos de 3 estaciones para validación (2008-2013); Datos de 6 estaciones de radiación para entrenamiento (2001-2013); Ubicación: provincia de Shaanxi y áreas circundantes, China"
1/34.praynlin2017.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante redes neuronales artificiales,Back Propagation Network (BPN); Radial Basis Function Network (RBFN),NCEP; SoDa
1/35.pazikadin2020.pdf,Solar irradiance measurement instrumentation and power solar generation forecasting based on Artificial Neural Networks (ANN): A review of five years research trend,Deep learning temporal (LSTM); Modelos basados en optimización por descenso de gradiente y metaheurísticas; Modelos estadísticos; Redes neuronales artificiales (ANN); Sistemas híbridos combinando ANN con algoritmos evolutivos y aprendizaje Hebbiano; Técnicas de descomposición de señales (ej. wavelet),Revisión de 87 artículos con diversos datasets históricos y meteorológicos
1/36.1-s2.0-S0960148122011387-main.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante inteligencia artificial,Long Short-Term Memory (LSTM); Prophet; Redes Neuronales Artificiales (ANN); Redes Neuronales Convolucionales (CNN); SARIMAX,Islamabad
1/37.Solar_Forecasting_using_ANN_with_Fuzzy_Logic_Pre-p.pdf,Solar Forecasting using ANN with Fuzzy Logic Pre-processing,Factor de corrección de error basado en pronósticos previos de 5 minutos; Modelo de cielo despejado para comparación y como entrada al ANN; Pre-procesamiento con lógica difusa para análisis en tiempo real de variables meteorológicas; Red neuronal artificial (ANN) feed-forward de tres capas con retropropagación y optimización Levenberg-Marquardt,"Datos meteorológicos de una estación en Singapur (1.341003N, 103.963014E), con entrenamiento usando datos de enero a marzo de 2017 y pronóstico para abril de 2017"
1/38.MTP2018.pdf,Pronóstico de generación fotovoltaica mediante modelos ANN y ANFIS,Redes Neuronales Artificiales (ANN); Sistema Adaptativo Neuro Difuso (ANFIS),Datos horarios de una planta generadora fotovoltaica de 10 MW (Kalipi solar power installation)
1/39.MLP_Back_Propagation_Artificial_Neural_Network_for.pdf,MLP Back Propagation Artificial Neural Network for Solar Irradiance Prediction,Backpropagation algorithm; Multilayer Perceptron (MLP) Artificial Neural Network,"Datos meteorológicos de irradiancia solar y temperatura ambiental recolectados en Fortaleza-CE, Brasil"
1/41.1-s2.0-S2352484723011228-main.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante inteligencia artificial,Artificial Neural Networks (ANN); Decision Trees (DT); Generalized Additive Models (GAM); Random Forest (RF); Support Vector Regression (SVR); XGBoost,"Datos recolectados durante un año (01/01/2022 - 31/12/2022) en una planta solar fotovoltaica de 24 KWc, con monitoreo diario de energía generada, irradiancia y temperatura."
1/42.1-s2.0-S0960148121015974-main.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante inteligencia artificial en dos sitios argelinos,Modelo de cielo despejado (clear sky); Modelo de persistencia inteligente (smart persistence); Redes neuronales artificiales (ANN); Regresión lineal múltiple (MLR),Datos horarios de irradiancia solar y variables meteorológicas de dos estaciones en Argelia: Algiers (2011-2014); Datos horarios de irradiancia solar y variables meteorológicas de dos estaciones en Argelia: Ghardaïa (2013-2016)
1/43.1-s2.0-S1877050917318392-main.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante redes neuronales profundas,Deep Recurrent Neural Network (DRNN) con unidades LSTM; Feedforward Neural Network (FNN); Modelos estadísticos ARMA; Modelos físicos de irradiancia; Support Vector Regression (SVR),"Datos de irradiancia solar obtenidos con un piranómetro LI-200S, grabados a 100 Hz y promediados a 10 ms, para cuatro días con diferentes condiciones climáticas (cielo despejado, nublado, variable y muy variable)."
1/44.qing2018.pdf,Predicción de irradiancia solar horaria mediante redes neuronales LSTM,BPNN (Back Propagation Neural Network); LR (Linear Regression); LSTM (Long Short-Term Memory); Persistence,"Dataset público de 11 años del NREL (2006-2016); Datos horarios de irradiancia solar y variables meteorológicas de una planta solar en Praia, Cabo Verde (875 días)"
1/45.ashfaq2020.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante LSTM optimizado,"Análisis estadístico de correlación (Pearson Correlation Coefficients) para selección de variables; Long Short-Term Memory (LSTM) con optimización de hiperparámetros (número de capas, tasa de aprendizaje, dropout, número de épocas, función de activación ReLU); Preprocesamiento de datos: imputación de valores faltantes, escalado MinMaxScaler",Datos horarios de irradiancia solar global horizontal y parámetros meteorológicos recolectados en la Estación Meteorológica de NUST Islamabad durante 55 meses (2015-2020)
1/46.energies-12-00215-v2.pdf,Predicción de potencia fotovoltaica mediante modelos de deep learning usando variables meteorológicas,ANN-based model; ARIMA; DNN-based model; DNN2; LSTM-based model; LSTM2; S-ARIMA,"Datos de potencia fotovoltaica y variables meteorológicas de un operador PV en Gumi, Corea del Sur"
1/47.1-s2.0-S0306261922010170-main.pdf,Optimized stacked BiLSTM/LSTM hybrid model for solar irradiance and PV power forecasting,Análisis univariado y multivariado de series temporales; Modelo híbrido optimizado stacked BiLSTM/LSTM; Optimización bayesiana para ajuste de hiperparámetros,"Datos históricos y de potencia fotovoltaica del NREL para UAE; Datos reales del Sweihan Photovoltaic Independent Power Project, Abu Dhabi"
1/48.1-s2.0-S0960148122015567-main.pdf,Short-term solar radiation forecasting with a novel image processing-based deep learning approach,Detección de círculos mediante método Hough adaptado según índice de nubosidad; Detección de posición solar mediante índices de cielo y brillo (sky index y brightness index); Modelo de predicción basado en promedio de datos históricos y predicción de movimiento de nubes; Método K-means para clasificación de píxeles solares y nubosos; Predicción de movimiento de nubes mediante flujo óptico Lucas-Kanade; Uso de datos de radiación solar extraterrestre del NREL,"Datos de radiación solar extraterrestre obtenidos del NREL; Datos medidos entre las 10:00 y 16:00 horas de los días 9, 10, 19 y 20 de septiembre de 2021"
1/49.bae2016.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante inteligencia artificial,ANN (Artificial Neural Network); NAR (Nonlinear Autoregressive Network); SVM (Support Vector Machine) regresión; k-means clustering para clasificación de datos,"Datos meteorológicos históricos diarios de Corea del Sur proporcionados por KMA, con clasificación en clusters según condiciones climáticas (soleado, parcialmente nublado, nublado/lluvioso)"
1/50.energies-12-00100-v2.pdf,Using Smart Persistence and Random Forests to Predict Photovoltaic Energy Production,Random Forest; Regresión lineal; Smart Persistence,Datos de seis módulos fotovoltaicos diferentes con medidas compartidas de irradiancia y mediciones específicas de potencia para cada módulo
1/51.energies-10-00186-v2.pdf,Pronóstico de irradiancia solar global mediante un modelo híbrido k-NN-ANN para estaciones fotovoltaicas,Modelo híbrido k-NN-ANN; Redes Neuronales Artificiales (ANN); k-Nearest Neighbors (k-NN),"Datos históricos y meteorológicos: temperatura, humedad, velocidad y dirección del viento, irradiancia global; Datos meteorológicos y de irradiancia solar de una estación fotovoltaica central rodeada por ocho estaciones fotovoltaicas vecinas"
1/52.Multi-step-short-term-solar-radiation-prediction-based-on-empirical-mode-decomposition-and.pdf,Multi-step short-term solar radiation prediction based on empirical mode decomposition and hybrid EGA model,"Algoritmo Genético Evolutivo (EGA); Descomposición Empírica de Modo (EMD); GRU (Gated Recurrent Unit); GRU con mecanismo de atención; Modelos comparativos: RNN, GRU, EMD-GRU, GRU-Attention","Datos meteorológicos y de radiación solar de cuatro ubicaciones geográficas (Tianjin, Harare, Santiago y Los Angeles) durante el año 2019; División estacional: primavera, verano, otoño, invierno"
1/54.song2019.pdf,Pronóstico de irradiancia solar mediante métodos modernos de aprendizaje profundo,ARIMAX; LSTM con capas convolucionales (32 kernels); Long Short-Term Memory (LSTM); Squeeze-and-Excitation Network (SENet); Support Vector Regression (SVR); Temporal Convolutional Network (TCN),"Datos horarios de irradiancia solar de la Universidad de Oregon combinados con datos meteorológicos de Weather Underground para Bend, Oregon, periodo 2013-2016"
1/55.1-s2.0-S0960148123001179-main.pdf,Deep learning based long-term global solar irradiance and temperature forecasting using time series with multi-step multivariate output,Convolutional Neural Network (CNN); Estrategia de pronóstico multistep ahead con método directo; Función de costo MSE; Gated Recurrent Unit (GRU); Long Short-Term Memory (LSTM); Modelo híbrido CNN-LSTM; Multi-Layer Perceptron (MLP); Normalización Min-Max; Optimización con algoritmo Adam; Selección de características basada en coeficiente de correlación de Pearson (>0.7),"Datos meteorológicos y de irradiancia solar de Zahedan, Irán, con registros mensuales desde 2001 hasta 2020, obtenidos del sitio web de NASA"
1/56.153_Adaptive.pdf,Adaptive Learning Hybrid Model for Precise Solar Intensity Forecasting Based on Meteorological Data,Adaptive Learning Hybrid Model (ALHM); Genetic Algorithm Back Propagation Neural Network (GABP); Multiple Linear Model (MLR); Time-Varying Multiple Linear Model (TMLM),simulaciones basadas en datos trazados (trace-driven simulations)
1/57.1-s2.0-S0960148120308557-main.pdf,Short-term global horizontal irradiance forecasting based on a hybrid CNN-LSTM model with spatiotemporal correlations,ANN; ANN-LSTM; CNN; CNN-ANN; CNN-LSTM; LSTM; Persistence model; SVM,Datos horarios de irradiancia solar global horizontal (GHI) y variables meteorológicas
1/58.1-s2.0-S0306261921005158-main.pdf,Pronóstico de irradiancia solar global horizontal mediante modelos híbridos LSTM–CNN,Artificial Neural Network (ANN); Convolutional Neural Network (CNN); Long Short-Term Memory (LSTM); Modelo híbrido CNN–LSTM; Modelo híbrido LSTM–CNN; Smart Persistence (SP); Support Vector Machine (SVM),"Datos meteorológicos horarios de tres zonas climáticas en California: Los Angeles, San Diego y San Francisco, con datos históricos de 2015 a 2019."
1/59.1-s2.0-S0960148120315652-main.pdf,Hourly forecasting of solar irradiance based on CEEMDAN and multistrategy CNN-LSTM neural networks,ARIMA; CEEMDAN-ARIMA; CEEMDAN-BPNN; CEEMDAN-LSTM; CEEMDAN-SVM; CEEMDAN-eCNN-eLSTM,"Datos históricos de irradiancia solar de cuatro regiones: Los Angeles, Hawaii’s Big Island, Denver (EE.UU.) y Tamanrasset (Argelia)"
1/60.1-s2.0-S0960148121003402-main.pdf,Pronóstico de irradiancia solar mediante modelos híbridos de deep learning,"BP; BP-MLP; LSTM; LSTM-MLP; RNN; RNN-MLP; SVM; WPDeCNNeLSTM; WPDeCNNeLSTM-MLP; descomposición de señales; redes neuronales profundas (CNN, LSTM, MLP)",Datos horarios de irradiancia solar global horizontal (GHI)
1/62.1-s2.0-S0196890424001304-main.pdf,"Pronóstico híbrido de DNI para optimización de plantas CSP mediante descomposición, selección de características y DCNN",Descomposición de señales usando SWD (Sliding Window Decomposition); Descomposición de señales usando VMD (Variational Mode Decomposition); Optimización híbrida GA-GOA para diseño de campo heliostático; Red neuronal convolucional profunda (DCNN); Selección de características mediante Random Forest Feature selection (RFF),"Cuatro regiones: Ghardaia (Argelia), Tamanrasset (Argelia), España, Francia; Datos horarios de irradiancia solar DNI y parámetros meteorológicos asociados"
1/63.10.1140epjps13360-019-00085-0_page1-1.pdf,On the use of BRL model for daily and hourly solar radiation components assessment in a semiarid climate,Modelo Boland–Ridley–Lauret (BRL) ajustado,Datos de radiación solar global medidos en una región semiárida no especificada
