section_id,claim_id,claim_text,source_filename,chunk_id,rank,retrieval_method,evidence_text,allowed_for_section
S2,S2_C1,"Los modelos ANN tradicionales, como Back Propagation y Multilayer Perceptron (MLP), han demostrado alta precisión en predicciones a corto plazo utilizando variables meteorológicas y datos históricos",1/39.MLP_Back_Propagation_Artificial_Neural_Network_for.pdf,696fb1df0f31a0b4_chunk_0003,1,supporting_citation_from_draft,"methodology, developed from data collected in Fortaleza-CE (latitude: −03° 43′, longitude: −38° 32′). Predictions were developed using Multilayer Perceptron (MLP) Back propagation Artificial Neural Network (ANN) with the advance of 1 hour. In the best ANN performance, 41.9% of the predictions obtained up to 5% of error, 58.7% obtained errors lower than 10% and 68.6% obtained errors lower than 15%. MAPE (mean absolute percentage error) of 6.11% was found, which can be considered good, since errors found in previous works reached 20%. Key words Solar Predictability, Solar Energy, Artificial Neural Networks. 1. Introduction There is a growing search for new sources of energy worldwide in order to complement the electricity supply. Additionally, according to United Nations projections [1], in 2050 the world population will increase approximately 29%, going from the current 7.55 billion inhabitants to 9.77 billion inhabitants [1]-[2], making it clear that energy demand will continue to expand. Therefore, better techniques are needed to produce, store and distribute energy, taking into account technical, financial and environmental factors.",True
S2,S2_C1,"Los modelos ANN tradicionales, como Back Propagation y Multilayer Perceptron (MLP), han demostrado alta precisión en predicciones a corto plazo utilizando variables meteorológicas y datos históricos",1/39.MLP_Back_Propagation_Artificial_Neural_Network_for.pdf,696fb1df0f31a0b4_chunk_0020,2,supporting_citation_from_draft,"hour in advance, totaling 18,421 forecasts, or 219 forecast days. Test period was performed from September 23, 2004 to April 30, 2005. Predictions of solar irradiance follow the behavior of the solar resource, demonstrating that the method is able to give values close to the observations in several hours of the period. The highest value of predicted solar irradiance for the 1st test was 1,144.2 W/m², while the measured value was 1,371 W/m², which is an understatement of 16.6 %. For the second test, the highest value of predicted solar irradiance was 1,449.33 W/m², characterizing an overestimation of 5.71%. For the first test, the largest difference between forecast and collected data was 99%, the lowest of 0% (no error). For the second test, the largest difference was 93.77% and the lowest of 0%. In the first test, 41.9% of the predictions obtained up to 5% of error, 58.7% of the predictions obtained errors less than 10% and 68.6% of the predictions errors less than 15%. In the second test, 34.87% of the predictions obtained up to 5% of error, 53.94% of the predictions obtained errors less than 10% and 67.42% of the predictions errors less",True
S2,S2_C2,"La arquitectura de la red y el algoritmo de entrenamiento son determinantes para el desempeño; en un estudio con ANN entrenada mediante el algoritmo trainlm y función de transferencia tan-sigmoide, se encontró que una configuración con siete neuronas en la capa oculta optimiza la precisión, alcanzando un coeficiente de correlación R de 0.96 y un error cuadrático medio (RMSE) de 1.34 MJ·m−2",1/33.An-LM-BP-Neural-Network-Approach-to-Estimate-Monthly-Mean-Daily-Global-Solar-Radiation-Using-MODIS-Atmospheric-Products.pdf,42891eb1891ec233_chunk_0023,1,supporting_citation_from_draft,"with R = 0.96). MBE is minimum (equal to 0.12 MJ·m−2) when the ANN conﬁguration with 5 neurons in the hidden layer. It is indicated that the training results were hardly improved further when the number of neurons in the hidden layer became greater than 7. The more the number of neurons, the not higher the accuracy. The reason is that the more the number of hidden layers, the more the nodes, which leads to more weights and errors, hence, the accuracy of the network drops. From the above consideration, an ANN conﬁguration with 7 neurons was applied. Table 1. Training results for different conﬁgurations in the hidden layer. n Transfer Function Training Function R RMSE/ MJ·m−2 MBE/ MJ·m−2 Hidden Layer Output Layer 4 tan-sigmoid purelin trainlm 0.94 1.59 0.13 5 tan-sigmoid purelin trainlm 0.93 1.66 0.12 6 tan-sigmoid purelin trainlm 0.94 1.60 0.44 7 tan-sigmoid purelin trainlm 0.96 1.34 0.21 8 tan-sigmoid purelin trainlm 0.93 1.65 0.27 9 tan-sigmoid purelin trainlm 0.92 2.12 1.15 10 tan-sigmoid purelin trainlm 0.94 1.66 0.52 11 tan-sigmoid purelin trainlm 0.90 1.99 0.42 12 tan-sigmoid purelin trainlm 0.92 1.76 0.19 13 tan-sigmoid purelin trainlm 0.93 1.73 0.20",True
S2,S2_C3,"La selección adecuada de variables meteorológicas, como temperatura mínima y máxima, duración de la insolación y radiación extraterrestre, contribuye significativamente a mejorar la precisión de las ANN",1/33.An-LM-BP-Neural-Network-Approach-to-Estimate-Monthly-Mean-Daily-Global-Solar-Radiation-Using-MODIS-Atmospheric-Products.pdf,42891eb1891ec233_chunk_0008,1,supporting_citation_from_draft,"past ten years, many scholars [15–20] have begun to use ANN models to simulate solar radiation. These research can be divided into several categories, including: (1) Comparing the simulation accuracy of ANNs with different input parameters. Rao et al. [21] used different combinations of daily minimum temperature (Tmin), daily maximum temperature (Tmax), the difference of daily maximum and minimum temperature (DT), sunshine duration (S0), theoretical sunshine duration (S) and extraterrestrial radiation (H0) to train an ANN; six ANN models were developed to estimate mean daily global solar radiation. The results that the showed a combination of DT and H0 gave the best prediction of the Relative Root Mean Square Error (RRMSE), being as little as 3.96%; (2) Comparing neural network models with other models. Teket et al. [22] compared 91 models for simulating solar radiation; these models can be summarized as linear models, nonlinear models, mixed models, and neural network models. The percentage errors were 3.62%, 2.50% to 6.93%, 0.14 to 6.93%, and 0.30%, respectively; (3) comparing the neural network models with different algorithms. For example, based",True
S2,S2_C4,"Sin embargo, estas redes presentan limitaciones en escenarios con alta variabilidad climática y terrenos heterogéneos, donde la generalización puede verse afectada, como se observa en regiones con estaciones lluviosas y secas bien definidas",1/39.MLP_Back_Propagation_Artificial_Neural_Network_for.pdf,696fb1df0f31a0b4_chunk_0015,1,supporting_citation_from_draft,"daily solar irradiation measurements in 2004. Fig. 2. Daily solar irradiation (2004). The weather in Fortaleza is characterized by a rainy and dry season, due to the presence of the Intertropical Convergence Zone. Dry period occurs in the second half of the year. Consequently, during this period there is a higher incidence of solar irradiation on the surface due to the absence of cloud cover. Rainy season, characterized by a lower solar irradiation, occurs in the first half of the year. For validation of the ANN results, the rest of the data (30% of the collected data) of solar irradiance and temperature (219 days, 18,421 measurements) are used in order to verify the network operation for hitherto unknown inputs (generalization step). It is worth mentioning that, in the region of the study, the climate is well defined throughout the year, therefore, this climatic characteristic causes the neural network to be able to carry out predictions of later years. With these results, weighted errors are calculated. Solar prediction errors are found at different times of the day, with different levels of solar resource availability [5]. If a",True
S3,S3_C1,"Las arquitecturas de deep learning temporal, como LSTM y GRU, capturan eficazmente las dinámicas temporales y patrones complejos en datos meteorológicos y de irradiancia, superando a modelos tradicionales y redes neuronales feedforward en precisión de pronóstico",1/43.1-s2.0-S1877050917318392-main.pdf,a6d33f85b06e45e7_chunk_0031,1,supporting_citation_from_draft,"Figure 12 shows a sample of training data in four different weather conditions: few clouds, scattered, overcast, and clear-sky. The results of the predictive model are shown in Fig. 13. The actual data plotted with the standard deviation of the predictive model is plotted as well because the experiments had different random initializations. The average RMSE of the DRNN is 0.0513 in training and 0.068 in testing. On the other hand, the average RMSE of the DRNN is 0.0746 in training and 0.086 in testing. This method gives promising results, as the RMSE is the lowest. Table 1 shows a comparison of different prediction methods. The comparison was made on the test dataset. A feedforward neural network was implemented using one hidden layer with 21 neurons. It was trained using the Levenberg–Marquardt algorithm. The training was stopped early to avoid the overfitting issues. FNN has the poorest performance among the other methods. The support vector machine has better performance than FNN. However, the deep learning LSTM outperforms other methods. Table 1: Performance test Method RMSE MBE FNN 0.16 0.005 SVR 0.11 0.0042 Deep Learning (LSTM) 0.086 0.004",True
S3,S3_C2,"Por ejemplo, un modelo DRNN con LSTM reporta un RMSE de 0.068, inferior al de SVR y FNN, evidenciando su capacidad para preservar dependencias a largo plazo en series temporales",1/43.1-s2.0-S1877050917318392-main.pdf,a6d33f85b06e45e7_chunk_0031,1,supporting_citation_from_draft,"Figure 12 shows a sample of training data in four different weather conditions: few clouds, scattered, overcast, and clear-sky. The results of the predictive model are shown in Fig. 13. The actual data plotted with the standard deviation of the predictive model is plotted as well because the experiments had different random initializations. The average RMSE of the DRNN is 0.0513 in training and 0.068 in testing. On the other hand, the average RMSE of the DRNN is 0.0746 in training and 0.086 in testing. This method gives promising results, as the RMSE is the lowest. Table 1 shows a comparison of different prediction methods. The comparison was made on the test dataset. A feedforward neural network was implemented using one hidden layer with 21 neurons. It was trained using the Levenberg–Marquardt algorithm. The training was stopped early to avoid the overfitting issues. FNN has the poorest performance among the other methods. The support vector machine has better performance than FNN. However, the deep learning LSTM outperforms other methods. Table 1: Performance test Method RMSE MBE FNN 0.16 0.005 SVR 0.11 0.0042 Deep Learning (LSTM) 0.086 0.004",True
S3,S3_C3,"Los modelos híbridos que combinan CNN y LSTM integran características espaciales y temporales, mejorando la precisión en diferentes condiciones climáticas y geográficas",1/58.1-s2.0-S0306261921005158-main.pdf,e1bf718cbfa6854b_chunk_0002,1,supporting_citation_from_draft,"effective participation in the energy market. This study proposes a new hybrid deep learning model, namely long short term memory–convolutional neural network (LSTM–CNN), for hourly GHI forecasting, which models the spatio-temporal features by integrating the long short term memory (LSTM) and convolutional neural network (CNN) model. The proposed model is trained with the meteorological data of 23 locations of California State, USA, which includes temperature, precipitation, relative humidity, cloud cover, etc., as input parameters. The proposed hybrid LSTM–CNN model firstly uses LSTM to extract the temporal features from time-series solar irradiance data, followed by CNN, which extracts the spatial features from the correlation matrix of several meteorological variables of target and its neighbor location. The prediction accuracy of the developed model is analyzed rigorously by examining the performance for a year, for four seasons and under three sky conditions. Besides, the proposed LSTM–CNN model shows a forecast skill score in a range of about 37%–45% over few standalone models, including smart persistence, support vector machine, artificial neural network, LSTM, CNN",True
S3,S3_C3,"Los modelos híbridos que combinan CNN y LSTM integran características espaciales y temporales, mejorando la precisión en diferentes condiciones climáticas y geográficas",1/58.1-s2.0-S0306261921005158-main.pdf,e1bf718cbfa6854b_chunk_0104,2,supporting_citation_from_draft,"summer, autumn and winter) for all locations. However, it has been observed that the seasonal error distribution of developed is highly influenced by the climate of the location. For instance, the proposed LSTM–CNN model has shown highly improved prediction results in those seasons when prediction errors of other considered models are relatively high. • Finally, the proposed hybrid LSTM–CNN model has shown highly improved prediction accuracy in different sky conditions (cloudy, mixed and sunny) for different climatic locations. Conclusively, the proposed LSTM–CNN model digs out the potential of deep learning and their hybrid models for GHI prediction. LSTM– CNN efficiently extracts the intrinsic and hidden tempo-spatial features from the multivariate time-series meteorological and GHI data that highly influence the GHI prediction. Moreover, the proposed LSTM– CNN model is highly stable, which effectively predicts GHI irrespective of the seasonal variations and sky conditions. The simulation results obtained in the present study illustrate that the proposed deep hybrid LSTM–CNN model exhibits excellent performance in predicting hourly global horizontal irradiance under different",True
S3,S3_C4,"La optimización de hiperparámetros mediante técnicas como búsqueda en cuadrícula y optimización bayesiana contribuye a superar problemas comunes como el desvanecimiento del gradiente y el sobreajuste, mejorando la generalización del modelo",1/59.1-s2.0-S0960148120315652-main.pdf,4237f959d87fe007_chunk_0036,1,supporting_citation_from_draft,"2.5.2. Model selection (4). Before training, the whole hyper-parameters of the network are initialized. The reconstructed training dataset is used to train ﬁve different hybrid CNN-LSTM networks to understand how to apply the concept, to learn and produce results. (5). During tuning model hyper-parameters, the validation dataset is used to provide an unbiased evaluation of CNNLSTM ﬁt on the training dataset. (6). Finally, the optimal hyper-parameter models of CNN-LSTM networks found by the grid-search are saved. 2.5.3. Performance evaluation (7). The test dataset is employed to provide forecasting results for optimal model. And then the forecast results are visualized and evaluated. 3. Solar irradiance data description In this work, measured irradiance taken from meteorological ground stations is used to forecast irradiance for the next hour. There are four real-world datasets applied to evaluate the performance of the proposed model in hourly-ahead forecasts of the irradiance. The locations of these collected datasets are displayed in Fig. 9. The ﬁrst three datasets from Los Angeles (19730N 156060W, California, USA), Denver (39440N, 105110W, Colorado, USA) and",True
